,date,fips,mmwr_week,recip_county,recip_state,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_5plus,administered_dose1_recip_5pluspop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,series_complete_yes,series_complete_pop_pct,series_complete_5plus,series_complete_5pluspop_pct,series_complete_12plus,series_complete_12pluspop_pct,series_complete_18plus,series_complete_18pluspop_pct,series_complete_65plus,series_complete_65pluspop_pct,booster_doses,booster_doses_vax_pct,booster_doses_12plus,booster_doses_12plus_vax_pct,booster_doses_18plus,booster_doses_18plus_vax_pct,booster_doses_50plus,booster_doses_50plus_vax_pct,booster_doses_65plus,booster_doses_65plus_vax_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_5pluspop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi,metro_status,series_complete_pop_pct_ur_equity,series_complete_5pluspop_pct_ur_equity,series_complete_12pluspop_pct_ur_equity,series_complete_18pluspop_pct_ur_equity,series_complete_65pluspop_pct_ur_equity,census2019,census2019_5pluspop,census2019_12pluspop,census2019_18pluspop,census2019_65pluspop
943,2022-03-01T00:00:00.000,05081,9,Little River County,AR,90.4,5966,48.7,5964,51.6,5888,56.2,5642,59.3,2155,84,4779,39,4778,41.4,4729,45.1,4555,47.9,1793,69.8,1538,32.2,1537,32.5,1531,33.6,1275,41.8,876,48.9,C,10,11,11,11,11,Metro,2,3,3,3,3,12259,11551,10486,9507,2567
1653,2022-03-01T00:00:00.000,05007,9,Benton County,AR,90.4,179283,64.2,179196,69,170228,73.6,154803,75,34286,90.5,146973,52.7,146946,56.6,140096,60.6,127045,61.5,28038,74,57255,39.0,57250,40.9,54898,43.2,31542,54.4,17390,62.0,B,8,8,8,8,8,Metro,4,4,4,4,4,279141,259751,231247,206487,37902
2972,2022-03-01T00:00:00.000,UNK,9,Unknown County,AR,90.4,245325,0,244154,0,241006,0,234262,0,63874,0,154334,0,154255,0,152227,0,148570,0,38839,0,49821,32.3,49810,32.7,49330,33.2,37885,45.6,24178,62.3,,,,,,,,,,,,,,,,,
1030,2022-03-01T00:00:00.000,05043,9,Drew County,AR,90.4,10167,55.8,10166,59.4,9927,63.6,9222,64.6,2571,77.5,8630,47.4,8630,50.5,8456,54.2,7875,55.1,2311,69.7,3402,39.4,3402,40.2,3346,42.5,2570,56.5,1497,64.8,D,15,16,16,16,15,Non-metro,7,8,8,8,7,18219,17104,15607,14284,3316
2014,2022-03-01T00:00:00.000,05103,9,Ouachita County,AR,90.4,14503,62,14500,65.8,14194,70.9,13239,72.9,4193,85,12560,53.7,12560,57,12374,61.8,11572,63.7,3778,76.6,4862,38.7,4862,39.3,4813,41.6,3985,55.3,2586,68.4,D,16,16,16,16,16,Non-metro,8,8,8,8,8,23382,22033,20023,18168,4933
1181,2022-03-01T00:00:00.000,05109,9,Pike County,AR,90.4,5515,51.5,5514,54.3,5463,59.1,5199,61.8,1950,88.8,4446,41.5,4446,43.8,4410,47.7,4215,50.1,1543,70.3,1581,35.6,1581,35.9,1571,37.3,1332,47.9,875,56.7,C,11,11,11,12,12,Non-metro,7,7,7,8,8,10718,10155,9246,8406,2195
384,2022-03-01T00:00:00.000,05147,9,Woodruff County,AR,90.4,4048,64.1,4048,67.8,3975,73.3,3753,75.5,1297,87.9,3522,55.7,3522,59,3484,64.2,3291,66.2,1195,81,974,27.7,974,28,968,29.4,812,37.2,518,43.3,D,16,16,16,16,16,Non-metro,8,8,8,8,8,6320,5968,5426,4968,1476
3032,2022-03-01T00:00:00.000,05037,9,Cross County,AR,90.4,9601,58.5,9599,62.2,9460,68,8860,70.2,2663,84.1,8288,50.5,8287,53.7,8214,59,7695,61,2408,76,2925,35.3,2925,35.6,2900,37.7,2289,50.1,1440,59.8,C,12,12,12,12,12,Non-metro,8,8,8,8,8,16419,15423,13912,12613,3167
1214,2022-03-01T00:00:00.000,05009,9,Boone County,AR,90.4,16351,43.7,16345,46.5,16093,50.5,15212,52.7,5794,73.9,13785,36.8,13785,39.2,13641,42.8,12969,44.9,5089,64.9,5489,39.8,5489,40.2,5416,41.8,4382,50.9,2994,58.8,B,6,6,7,7,7,Non-metro,6,6,7,7,7,37432,35180,31850,28890,7841
2367,2022-03-01T00:00:00.000,05083,9,Logan County,AR,90.4,11438,53.3,11438,56.6,11265,60.7,10585,62.6,3522,80.1,9964,46.4,9964,49.3,9856,53.1,9305,55.1,3215,73.1,3714,37.3,3714,37.7,3680,39.5,2939,50.2,1887,58.7,D,15,15,16,16,16,Non-metro,7,7,8,8,8,21466,20223,18547,16897,4396
2598,2022-03-01T00:00:00.000,05049,9,Fulton County,AR,90.4,4697,37.6,4696,39.8,4625,42.8,4352,44.2,1703,52.4,4004,32.1,4004,33.9,3971,36.8,3786,38.5,1522,46.8,1707,42.6,1707,43,1701,44.9,1424,53.7,934,61.4,C,10,10,10,10,10,Non-metro,6,6,6,6,6,12477,11803,10804,9843,3249
1116,2022-03-01T00:00:00.000,05017,9,Chicot County,AR,90.4,6602,65.3,6598,69,6473,74.6,6049,76.6,2124,95,5461,54,5458,57.1,5407,62.3,5101,64.6,1829,85.6,1965,36.0,1965,36.3,1949,38.2,1617,47.5,1000,54.7,D,16,16,16,16,16,Non-metro,8,8,8,8,8,10118,9559,8680,7901,2136
2606,2022-03-01T00:00:00.000,05101,9,Newton County,AR,90.4,3125,40.3,3124,42.5,3103,45.5,2989,47.8,1357,64.3,2587,33.4,2587,35.2,2573,37.7,2485,39.7,1151,54.5,1065,41.2,1065,41.4,1058,42.6,917,50.1,650,56.5,B,6,6,6,6,7,Non-metro,6,6,6,6,7,7753,7355,6827,6257,2112
1690,2022-03-01T00:00:00.000,05137,9,Stone County,AR,90.4,5231,41.8,5230,44,5149,46.8,4903,48.5,2147,61.5,4490,35.9,4490,37.8,4444,40.4,4273,42.2,1929,55.3,2280,50.8,2280,51.3,2264,53.0,1911,62.1,1338,69.4,C,10,10,11,11,11,Non-metro,6,6,7,7,7,12506,11893,10998,10119,3489
3010,2022-03-01T00:00:00.000,05143,9,Washington County,AR,90.4,157933,66,157862,70.7,150338,74.9,136234,75.1,27135,93.8,131149,54.8,131122,58.7,125601,62.6,113874,62.8,23535,81.4,50055,38.2,50044,39.8,48299,42.4,27337,55.9,15165,64.4,C,12,12,12,12,12,Metro,4,4,4,4,4,239187,223256,200760,181437,28919
332,2022-03-01T00:00:00.000,05045,9,Faulkner County,AR,90.4,74418,59.1,74390,62.8,71693,66.8,65920,67.8,15382,95,63889,50.7,63883,53.9,61876,57.7,56884,58.5,13567,83.8,24803,38.8,24802,40.1,24117,42.4,15808,55.9,9198,67.8,B,8,8,8,8,8,Metro,4,4,4,4,4,126007,118418,107247,97276,16195
2337,2022-03-01T00:00:00.000,05019,9,Clark County,AR,90.4,12554,56.2,12552,59.4,12267,63,11426,63.2,3492,93,10771,48.3,10769,50.9,10580,54.3,9902,54.8,3149,83.9,4487,41.7,4487,42.4,4423,44.7,3381,58.7,2209,70.1,D,15,16,16,16,16,Non-metro,7,8,8,8,8,22320,21146,19472,18082,3753
1068,2022-03-01T00:00:00.000,05149,9,Yell County,AR,90.4,11711,54.9,11703,58.4,11401,63.3,10427,64.5,2708,70.2,10278,48.2,10277,51.3,10100,56.1,9315,57.6,2615,67.8,3609,35.1,3609,35.7,3546,38.1,2715,52.2,1637,62.6,D,15,16,16,16,15,Non-metro,7,8,8,8,7,21341,20037,18012,16163,3858
1059,2022-03-01T00:00:00.000,05041,9,Desha County,AR,90.4,8099,71.3,8044,75.7,7792,81.8,7198,84.8,2205,95,6738,59.3,6687,62.9,6545,68.8,6072,71.5,1944,87.3,2534,37.6,2533,38.7,2496,41.1,1990,54.1,1229,63.2,D,16,16,16,16,16,Non-metro,8,8,8,8,8,11361,10633,9520,8491,2227
52,2022-03-01T00:00:00.000,05055,9,Greene County,AR,90.4,22206,49,22204,52.4,21714,57,20211,58.9,5678,77,19281,42.5,19281,45.5,18957,49.7,17723,51.7,5268,71.5,7504,38.9,7504,39.6,7378,41.6,5646,55.7,3526,66.9,C,11,11,11,12,12,Non-metro,7,7,7,8,8,45325,42336,38118,34308,7372
474,2022-03-01T00:00:00.000,05035,9,Crittenden County,AR,90.4,25873,54,25868,58.5,25104,63.8,23113,66.1,5525,79.4,21109,44,21106,47.7,20680,52.6,19068,54.5,4665,67,6473,30.7,6473,31.3,6343,33.3,4753,44.2,2583,55.4,D,15,15,16,16,15,Metro,3,3,4,4,3,47955,44255,39319,34983,6960
