,date,fips,mmwr_week,recip_county,recip_state,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_5plus,administered_dose1_recip_5pluspop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,series_complete_yes,series_complete_pop_pct,series_complete_5plus,series_complete_5pluspop_pct,series_complete_12plus,series_complete_12pluspop_pct,series_complete_18plus,series_complete_18pluspop_pct,series_complete_65plus,series_complete_65pluspop_pct,booster_doses,booster_doses_vax_pct,booster_doses_12plus,booster_doses_12plus_vax_pct,booster_doses_18plus,booster_doses_18plus_vax_pct,booster_doses_50plus,booster_doses_50plus_vax_pct,booster_doses_65plus,booster_doses_65plus_vax_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_5pluspop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi,metro_status,series_complete_pop_pct_ur_equity,series_complete_5pluspop_pct_ur_equity,series_complete_12pluspop_pct_ur_equity,series_complete_18pluspop_pct_ur_equity,series_complete_65pluspop_pct_ur_equity,census2019,census2019_5pluspop,census2019_12pluspop,census2019_18pluspop,census2019_65pluspop
269,2022-03-01T00:00:00.000,06033,9,Lake County,CA,97.5,41940,65.1,41937,69.2,41136,74.5,38994,76.8,12906,86.9,37573,58.4,37572,62,37052,67.1,35238,69.4,11891,80.1,16334,43.5,16333,44.1,16136,45.8,12260,55.5,7500,63.1,D,16,16,16,16,16,Non-metro,8,8,8,8,8,64386,60589,55218,50758,14849
2338,2022-03-01T00:00:00.000,06003,9,Alpine County,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,C,,,,,,Non-metro,,,,,,1129,1080,1013,929,298
338,2022-03-01T00:00:00.000,UNK,9,Unknown County,CA,97.5,1051426,0,1050708,0,1036727,0,981330,0,181565,0,711813,0,711659,0,704320,0,681423,0,132305,0,189661,26.6,189639,26.9,188146,27.6,124718,40.8,75130,56.8,,,,,,,,,,,,,,,,,
2096,2022-03-01T00:00:00.000,06029,9,Kern County,CA,97.5,534829,59.4,534618,64.3,513093,70.5,463796,72.3,90767,89.7,474341,52.7,474278,57,457834,62.9,414035,64.6,82284,81.3,183456,38.7,183429,40.1,177225,42.8,104025,55.7,52833,64.2,D,16,16,16,16,16,Metro,4,4,4,4,4,900202,831763,727536,641115,101155
3114,2022-03-01T00:00:00.000,06027,9,Inyo County,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,C,,,,,,Non-metro,,,,,,18039,17041,15521,14312,4228
1540,2022-03-01T00:00:00.000,06109,9,Tuolumne County,CA,97.5,37830,69.4,37827,72.6,37205,76.7,35860,79.1,15426,95,30213,55.5,30210,58,29812,61.5,28759,63.5,12576,85.5,13210,43.7,13208,44.3,13078,45.5,10564,51.7,7293,58.0,B,8,8,8,8,8,Non-metro,8,8,8,8,8,54478,52070,48505,45325,14709
2515,2022-03-01T00:00:00.000,06099,9,Stanislaus County,CA,97.5,380651,69.1,380528,74.4,368981,81.4,338308,84.1,77355,95,290980,52.8,290945,56.9,283271,62.5,259882,64.6,59468,80.4,96634,33.2,96571,34.1,93962,36.2,59084,46.8,32707,55.0,D,16,16,16,16,16,Metro,4,4,4,4,4,550660,511523,453018,402227,73921
96,2022-03-01T00:00:00.000,06041,9,Marin County,CA,97.5,248018,95,247829,95,232358,95,211703,95,59032,95,227376,87.8,227298,91.9,213587,93.9,194225,93.6,55042,92.7,145135,63.8,145080,67.9,135794,69.9,86591,79.9,46546,84.6,B,8,8,8,8,8,Metro,4,4,4,4,4,258826,247200,227451,207495,59404
399,2022-03-01T00:00:00.000,06059,9,Orange County,CA,97.5,2493657,78.5,2492404,83.3,2390180,87.6,2201325,88.5,475677,95,2251957,70.9,2251420,75.3,2166603,79.5,1993815,80.2,433106,89.2,1184826,52.6,1184695,54.7,1140830,57.2,649007,67.4,326484,75.4,B,8,8,8,8,8,Metro,4,4,4,4,4,3175692,2991060,2726975,2486016,485568
2886,2022-03-01T00:00:00.000,06035,9,Lassen County,CA,97.5,12779,41.8,12779,43.9,12663,46.9,12248,48.4,3995,84.3,11361,37.2,11361,39,11283,41.8,10942,43.3,3576,75.5,3986,35.1,3986,35.3,3957,36.2,2978,46.0,1879,52.5,C,10,10,11,11,12,Non-metro,6,6,7,7,8,30573,29104,27022,25291,4738
643,2022-03-01T00:00:00.000,06023,9,Humboldt County,CA,97.5,97568,72,97525,75.8,93526,78.9,87365,79.5,23925,95,88234,65.1,88214,68.6,84883,71.6,79375,72.2,22018,87.4,46996,53.3,46995,55.4,45484,57.3,27166,67.0,16084,73.0,D,16,16,16,16,16,Non-metro,8,8,8,8,8,135558,128636,118607,109924,25189
901,2022-03-01T00:00:00.000,06031,9,Kings County,CA,97.5,86815,56.8,86794,61.4,83846,67.2,76636,68.7,13792,86,75642,49.5,75636,53.5,73379,58.8,67014,60.1,12209,76.2,25163,33.3,25158,34.3,24416,36.4,14789,54.4,7694,63.0,D,15,16,16,16,16,Metro,3,4,4,4,4,152940,141258,124700,111597,16028
2877,2022-03-01T00:00:00.000,06053,9,Monterey County,CA,97.5,346586,79.8,346428,85.7,328687,91.6,297303,92.5,58068,95,307987,71,307928,76.2,294221,82,265767,82.7,52191,85.9,140268,45.5,140256,47.7,134520,50.6,76977,68.3,39665,76.0,D,16,16,16,16,16,Metro,4,4,4,4,4,434061,404128,358873,321346,60731
886,2022-03-01T00:00:00.000,06019,9,Fresno County,CA,97.5,672793,67.3,672522,72.8,642941,79.4,584098,81.4,122105,95,600177,60.1,600085,65,576790,71.2,523140,72.9,109860,87.6,254772,42.4,254744,44.2,245761,47.0,142110,60.1,74441,67.8,D,16,16,16,16,16,Metro,4,4,4,4,4,999101,923550,810168,717248,125435
2755,2022-03-01T00:00:00.000,06013,9,Contra Costa County,CA,97.5,995994,86.3,995418,91.4,937276,94.8,852213,95,190785,95,932346,80.8,932073,85.6,881162,89.1,799200,89.3,178308,95,542778,58.2,542726,61.6,513739,64.3,293444,75.6,146598,82.2,B,8,8,8,8,8,Metro,4,4,4,4,4,1153526,1088902,988404,894879,187704
921,2022-03-01T00:00:00.000,06079,9,San Luis Obispo County,CA,97.5,188748,66.7,188666,69.8,181896,72.5,170221,72.9,51501,87.2,169711,59.9,169677,62.8,164231,65.5,153855,65.9,47419,80.3,98223,57.9,98211,59.8,95655,62.2,63200,73.8,39235,82.7,B,8,8,8,8,8,Metro,4,4,4,4,4,283111,270357,250862,233612,59051
2176,2022-03-01T00:00:00.000,06015,9,Del Norte County,CA,97.5,13583,48.8,13577,51.5,13185,55,12418,56.5,4094,79.9,11834,42.5,11831,44.9,11521,48,10905,49.6,3643,71.1,5694,48.1,5694,49.4,5609,51.4,4132,60.9,2497,68.5,D,15,15,15,15,16,Non-metro,7,7,7,7,8,27812,26363,23994,21990,5123
2185,2022-03-01T00:00:00.000,06007,9,Butte County,CA,97.5,127809,58.3,127783,61.7,124319,65.5,117458,67.2,34995,87,116183,53,116176,56.1,113306,59.7,106608,61,31490,78.3,57724,49.7,57715,50.9,56276,52.8,35200,61.1,21294,67.6,D,16,16,16,16,16,Metro,4,4,4,4,4,219186,207124,189828,174793,40228
2850,2022-03-01T00:00:00.000,06115,9,Yuba County,CA,97.5,47155,59.9,47144,65,45581,71.4,42245,74,8684,84.6,41887,53.2,41883,57.7,40771,63.8,37845,66.3,7902,76.9,14661,35.0,14656,35.9,14259,37.7,8984,53.3,4830,61.1,D,16,16,16,16,16,Metro,4,4,4,4,4,78668,72553,63867,57075,10270
2387,2022-03-01T00:00:00.000,06005,9,Amador County,CA,97.5,26515,66.7,26510,69.5,26139,73,25103,74.4,10818,95,20899,52.6,20899,54.8,20648,57.6,19904,59,8711,79.6,9279,44.4,9279,44.9,9154,46.0,7560,52.8,5112,58.7,C,12,12,12,12,12,Non-metro,8,8,8,8,8,39752,38140,35819,33742,10945
2816,2022-03-01T00:00:00.000,06067,9,Sacramento County,CA,97.5,1133520,73,1132795,77.9,1077019,82.1,988184,83.1,217610,95,1033225,66.6,1032944,71,986366,75.2,905868,76.2,201541,89.6,523895,50.7,523839,53.1,503803,55.6,287140,66.6,149216,74.0,C,12,12,12,12,12,Metro,4,4,4,4,4,1552058,1453906,1311808,1188937,224882
2818,2022-03-01T00:00:00.000,06089,9,Shasta County,CA,97.5,101296,56.3,101272,59.7,99313,64.4,94791,67.1,34073,89.5,88823,49.3,88808,52.4,87175,56.5,83143,58.9,29981,78.8,38125,42.9,38124,43.7,37447,45.0,28017,53.1,17694,59.0,C,11,12,12,12,12,Metro,3,4,4,4,4,180080,169600,154210,141263,38069
753,2022-03-01T00:00:00.000,06107,9,Tulare County,CA,97.5,279598,60,279479,65,268396,72.1,242559,74.8,48900,90.1,246918,53,246890,57.4,238514,64,215615,66.5,44054,81.1,97657,39.6,97619,40.9,94414,43.8,55961,57.3,29325,66.6,D,16,16,16,16,16,Metro,4,4,4,4,4,466195,429810,372402,324089,54291
700,2022-03-01T00:00:00.000,06113,9,Yolo County,CA,97.5,170579,77.4,170474,81.7,161599,84.8,148832,85.2,29746,95,152899,69.3,152838,73.2,145043,76.1,133391,76.3,27247,95,84575,55.3,84566,58.3,80777,60.6,40234,69.7,20830,76.4,C,12,12,12,12,12,Metro,4,4,4,4,4,220500,208725,190670,174725,28508
1595,2022-03-01T00:00:00.000,06087,9,Santa Cruz County,CA,97.5,233568,85.5,233427,89.9,222210,92.8,204483,92.4,49441,95,211846,77.5,211803,81.5,202792,84.7,186534,84.3,45606,95,116391,54.9,116382,57.4,111300,59.7,64819,69.2,34019,74.6,C,12,12,12,12,12,Metro,4,4,4,4,4,273213,259767,239473,221314,47217
2148,2022-03-01T00:00:00.000,06081,9,San Mateo County,CA,97.5,702026,91.6,701454,95,657752,95,604885,95,127004,95,635967,83,635679,87.8,596964,89.9,547996,89.6,117894,92.9,402150,63.2,402104,67.4,379220,69.2,198478,77.6,96130,81.5,B,8,8,8,8,8,Metro,4,4,4,4,4,766573,724047,664338,611410,126877
579,2022-03-01T00:00:00.000,06069,9,San Benito County,CA,97.5,45347,72.2,45315,77.2,42968,81.9,38813,82.9,7535,91.3,41273,65.7,41263,70.3,39263,74.8,35349,75.5,6868,83.2,20385,49.4,20383,51.9,19370,54.8,10828,66.6,5131,74.7,C,12,12,12,12,12,Metro,4,4,4,4,4,62808,58705,52461,46822,8252
1138,2022-03-01T00:00:00.000,06061,9,Placer County,CA,97.5,287478,72.2,287354,76.2,274768,80.2,253961,81.8,77308,95,266574,66.9,266517,70.6,255294,74.5,235672,75.9,71908,90.6,143984,54.0,143965,56.4,138431,58.7,90793,67.5,53194,74.0,A,4,4,4,4,4,Metro,4,4,4,4,4,398329,377237,342501,310382,79390
420,2022-03-01T00:00:00.000,06021,9,Glenn County,CA,97.5,17506,61.7,17503,66.3,16989,72.6,15711,75.4,4451,95,15457,54.4,15457,58.5,15092,64.5,13921,66.8,3962,88.5,6374,41.2,6374,42.2,6236,44.8,4296,56.1,2495,63.0,D,16,16,16,16,16,Non-metro,8,8,8,8,8,28393,26407,23410,20833,4476
3011,2022-03-01T00:00:00.000,06049,9,Modoc County,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,D,,,,,,Non-metro,,,,,,8841,8416,7730,7122,2431
1921,2022-03-01T00:00:00.000,06045,9,Mendocino County,CA,97.5,65093,75,65050,79.5,63306,84.9,59403,86.8,18872,94.2,57905,66.8,57891,70.8,56604,75.9,53104,77.6,17236,86.1,26573,45.9,26571,46.9,25875,48.7,18264,60.0,11512,66.8,D,16,16,16,16,16,Non-metro,8,8,8,8,8,86749,81800,74605,68430,20025
1917,2022-03-01T00:00:00.000,06065,9,Riverside County,CA,97.5,1608794,65.1,1608265,69.5,1551797,74.9,1421273,76.6,341265,93.3,1433285,58,1433100,61.9,1389777,67,1273395,68.6,304440,83.2,616356,43.0,616296,44.3,596833,46.9,373946,58.5,200571,65.9,D,16,16,16,16,16,Metro,4,4,4,4,4,2470546,2314245,2073051,1856392,365942
2626,2022-03-01T00:00:00.000,06071,9,San Bernardino County,CA,97.5,1376118,63.1,1375534,67.8,1328281,73.6,1218394,75.7,239869,92.1,1240616,56.9,1240421,61.2,1202668,66.6,1102484,68.5,217409,83.5,518714,41.8,518666,43.1,501282,45.5,292618,57.7,143448,66.0,D,16,16,16,16,16,Metro,4,4,4,4,4,2180085,2027649,1804516,1610447,260520
583,2022-03-01T00:00:00.000,06073,9,San Diego County,CA,97.5,3482778,95,3481351,95,3332452,95,3085459,95,652685,95,2300202,68.9,2299792,73.4,2201819,77.1,2032489,77.5,407391,84.1,635609,27.6,635521,28.9,619871,30.5,347172,40.2,183794,45.1,C,12,12,12,12,12,Metro,4,4,4,4,4,3338330,3135165,2856446,2623534,484452
2991,2022-03-01T00:00:00.000,06017,9,El Dorado County,CA,97.5,131961,68.4,131897,71.7,127649,75.4,119164,77,38185,90.3,119583,62,119567,65,116072,68.6,108348,70,35222,83.3,62120,51.9,62116,53.5,60108,55.5,43396,64.4,25312,71.9,A,4,4,4,4,4,Metro,4,4,4,4,4,192843,183982,169247,154742,42304
1031,2022-03-01T00:00:00.000,06111,9,Ventura County,CA,97.5,663540,78.4,663326,83.2,639633,88.5,588046,89.8,136660,95,602261,71.2,602179,75.5,583006,80.6,535867,81.8,125657,91.9,295676,49.1,295656,50.7,284519,53.1,174878,65.3,91872,73.1,B,8,8,8,8,8,Metro,4,4,4,4,4,846006,797613,722909,655095,136705
1333,2022-03-01T00:00:00.000,06093,9,Siskiyou County,CA,97.5,26002,59.7,25994,62.8,25576,67.6,24559,70.6,10000,87.9,22974,52.8,22972,55.5,22655,59.9,21739,62.5,8943,78.6,9958,43.3,9958,44,9818,45.2,7915,53.0,5335,59.7,C,12,12,12,12,12,Non-metro,8,8,8,8,8,43539,41361,37809,34803,11379
539,2022-03-01T00:00:00.000,06103,9,Tehama County,CA,97.5,31107,47.8,31104,50.9,30432,55.3,28637,57.7,9216,72.1,27397,42.1,27396,44.8,26925,49,25335,51.1,8273,64.7,11796,43.1,11795,43.8,11607,45.8,8814,57.1,5498,66.5,D,15,15,15,16,15,Non-metro,7,7,7,8,7,65084,61110,55004,49621,12780
985,2022-03-01T00:00:00.000,06011,9,Colusa County,CA,97.5,14465,67.1,14461,72.1,14074,79.2,12957,82.5,2948,91.7,12860,59.7,12859,64.1,12584,70.9,11625,74,2653,82.5,4320,33.6,4319,34.3,4244,36.5,2773,48.9,1599,60.3,C,12,12,12,12,12,Non-metro,8,8,8,8,8,21547,20058,17760,15706,3214
554,2022-03-01T00:00:00.000,06063,9,Plumas County,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,B,,,,,,Non-metro,,,,,,18807,17899,16642,15537,5437
2921,2022-03-01T00:00:00.000,06095,9,Solano County,CA,97.5,345367,77.2,345169,82,332142,86.9,306542,87.8,71195,95,298999,66.8,298948,71,288465,75.5,266332,76.3,62554,85.5,138699,46.4,138690,48.1,133354,50.1,80619,60.8,42375,67.7,C,12,12,12,12,12,Metro,4,4,4,4,4,447643,420851,382258,349187,73156
2652,2022-03-01T00:00:00.000,06097,9,Sonoma County,CA,97.5,419250,84.8,419021,89.1,400068,92.3,370308,92.8,101112,95,381198,77.1,381071,81,365262,84.3,337868,84.7,92728,90.6,221989,58.2,221975,60.8,213192,63.1,133721,74.2,74368,80.2,B,8,8,8,8,8,Metro,4,4,4,4,4,494336,470488,433303,398831,102323
1005,2022-03-01T00:00:00.000,06057,9,Nevada County,CA,97.5,70706,70.9,70677,74,68483,77,64696,78.1,24312,85.9,62878,63,62866,65.8,61024,68.6,57641,69.6,21987,77.7,33514,53.3,33510,54.9,32703,56.7,24685,66.4,16064,73.1,A,4,4,4,4,4,Non-metro,8,8,8,8,8,99755,95544,88927,82837,28306
3008,2022-03-01T00:00:00.000,06037,9,Los Angeles County,CA,97.5,8024751,79.9,8021374,84.8,7692719,89.2,7056856,89.4,1334346,94.4,7141862,71.1,7140387,75.5,6875323,79.8,6301638,79.8,1201577,85,3523180,49.3,3522830,51.2,3389757,53.8,1833349,65.6,890760,74.1,D,16,16,16,16,16,Metro,4,4,4,4,4,10039107,9459251,8619513,7894557,1413753
760,2022-03-01T00:00:00.000,06075,9,San Francisco County,CA,97.5,818382,92.8,817764,95,782540,95,743444,95,136342,95,729968,82.8,729679,86.6,698291,87.5,662239,86.8,126697,89.4,490117,67.1,490066,70.2,473294,71.5,219263,79.9,106882,84.4,B,8,8,8,8,8,Metro,4,4,4,4,4,881549,842196,798043,763379,141770
3138,2022-03-01T00:00:00.000,06077,9,San Joaquin County,CA,97.5,567199,74.4,566991,79.9,544433,86.6,496631,89.1,105395,95,436401,57.3,436338,61.5,421392,67,385630,69.2,84049,84.2,158466,36.3,158395,37.6,153859,39.9,94547,51.5,50204,59.7,D,16,16,16,16,16,Metro,4,4,4,4,4,762148,709493,628553,557577,99781
1397,2022-03-01T00:00:00.000,06039,9,Madera County,CA,97.5,95394,60.6,95372,65.4,91260,71,82777,72.5,20473,90.7,83279,52.9,83270,57.1,80084,62.3,72718,63.7,18207,80.7,34562,41.5,34559,43.2,33453,46.0,21582,59.0,12192,67.0,D,16,16,16,16,16,Metro,4,4,4,4,4,157327,145865,128621,114178,22573
3,2022-03-01T00:00:00.000,06083,9,Santa Barbara County,CA,97.5,349396,78.3,349246,83.3,335208,88.2,309661,89,70602,95,312733,70,312677,74.6,301876,79.4,278838,80.1,64081,91.4,152892,48.9,152877,50.6,147465,52.9,85439,66.3,46585,72.7,C,12,12,12,12,12,Metro,4,4,4,4,4,446499,419143,380164,347943,70125
1395,2022-03-01T00:00:00.000,06051,9,Mono County,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,A,,,,,,Non-metro,,,,,,14444,13757,12770,11875,2330
1391,2022-03-01T00:00:00.000,06055,9,Napa County,CA,97.5,119073,86.4,118980,90.7,113476,94.3,104252,94.8,26981,95,106090,77,106069,80.9,101526,84.3,93226,84.8,24783,91.3,59066,55.7,59054,58.2,56496,60.6,34643,71.3,19231,77.6,C,12,12,12,12,12,Metro,4,4,4,4,4,137744,131112,120368,109947,27157
215,2022-03-01T00:00:00.000,06101,9,Sutter County,CA,97.5,64525,66.5,64509,71.5,62597,77.6,57688,80.1,14503,95,58330,60.2,58324,64.6,56869,70.5,52508,72.9,13242,87.7,24286,41.6,24284,42.7,23688,45.1,15231,56.7,8707,65.8,D,16,16,16,16,16,Metro,4,4,4,4,4,96971,90267,80697,71995,15095
1503,2022-03-01T00:00:00.000,06001,9,Alameda County,CA,97.5,1499214,89.7,1497973,95,1404348,95,1290446,95,241352,95,1355408,81.1,1354803,85.9,1272482,88.2,1167459,87.7,222613,93.2,799377,59.0,799273,62.8,756986,64.8,372523,73.9,176645,79.4,B,8,8,8,8,8,Metro,4,4,4,4,4,1671329,1576601,1443287,1331230,238763
2370,2022-03-01T00:00:00.000,06009,9,Calaveras County,CA,97.5,32573,71,32566,74.3,32169,78.6,30985,81.4,13332,95,24570,53.5,24570,56,24329,59.5,23488,61.7,10067,78.2,10355,42.1,10353,42.6,10251,43.6,8548,50.1,5695,56.6,A,4,4,4,4,4,Non-metro,8,8,8,8,8,45905,43850,40910,38077,12866
2421,2022-03-01T00:00:00.000,06043,9,Mariposa County,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,C,,,,,,Non-metro,,,,,,17203,16474,15399,14425,4974
148,2022-03-01T00:00:00.000,06085,9,Santa Clara County,CA,97.5,1792203,93,1791057,95,1682117,95,1544693,95,278383,95,1644364,85.3,1643781,90.5,1546695,93.5,1412542,93.4,255497,95,1009032,61.4,1008901,65.2,949429,67.2,458345,76.1,208783,81.7,B,8,8,8,8,8,Metro,4,4,4,4,4,1927852,1815986,1654855,1511937,268207
2417,2022-03-01T00:00:00.000,06047,9,Merced County,CA,97.5,177754,64,177719,69.3,171414,76.4,155459,79.1,30945,95,136181,49,136177,53.1,132327,59,120759,61.5,25192,79.6,44721,32.8,44672,33.8,43552,36.1,26766,48.9,14490,57.5,D,15,16,16,16,16,Metro,3,4,4,4,4,277680,256412,224366,196451,31636
1489,2022-03-01T00:00:00.000,06091,9,Sierra County,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,A,,,,,,Non-metro,,,,,,3005,2867,2684,2509,963
2061,2022-03-01T00:00:00.000,08043,9,Fremont County,CO,97.1,23514,49.2,23510,51.3,23170,54,22545,56.1,8932,84.3,20850,43.6,20850,45.5,20603,48,20095,50,8110,76.6,9488,45.5,9488,46.1,9429,46.9,7643,57.0,5038,62.1,C,11,11,11,12,12,Non-metro,7,7,7,8,8,47839,45865,42918,40155,10594
2514,2022-03-01T00:00:00.000,08111,9,San Juan County,CO,97.1,773,95,773,95,731,95,698,95,176,93.6,684,94,684,95,656,95,627,95,161,85.6,365,53.4,364,55.5,347,55.3,197,62.1,122,75.8,A,4,4,4,4,4,Non-metro,8,8,8,8,8,728,701,668,637,188
3095,2022-03-01T00:00:00.000,08037,9,Eagle County,CO,97.1,54563,95,54552,95,51859,95,47902,95,7666,95,44910,81.5,44908,86.2,43277,90.8,40083,92.5,6705,95,19608,43.7,19606,45.3,18846,47.0,10281,60.4,4471,66.7,A,4,4,4,4,4,Non-metro,8,8,8,8,8,55127,52122,47681,43321,6836
1965,2022-03-01T00:00:00.000,08083,9,Montezuma County,CO,97.1,20770,79.3,20764,83.8,20042,89.3,18849,91.8,5624,93.7,17750,67.8,17750,71.6,17293,77,16258,79.2,5108,85.1,8475,47.7,8474,49,8303,51.1,6018,62.9,3607,70.6,B,8,8,8,8,8,Non-metro,8,8,8,8,8,26183,24782,22452,20524,6004
1363,2022-03-01T00:00:00.000,08029,9,Delta County,CO,97.1,16221,52.1,16218,54.6,15942,58.4,15358,61.3,7219,86.4,14699,47.2,14699,49.5,14500,53.1,13998,55.9,6607,79.1,7626,51.9,7624,52.6,7542,53.9,6239,61.9,4286,64.9,C,11,11,12,12,12,Non-metro,7,7,8,8,8,31162,29716,27307,25048,8352
1689,2022-03-01T00:00:00.000,08001,9,Adams County,CO,97.1,376913,72.8,376834,78.2,358703,83.7,326267,85.4,53876,95,347449,67.2,347446,72.1,332825,77.6,302594,79.2,51161,92.1,155247,44.7,155208,46.6,148870,49.2,77922,63.8,36685,71.7,C,12,12,12,12,12,Metro,4,4,4,4,4,517421,481692,428707,382230,55528
589,2022-03-01T00:00:00.000,08007,9,Archuleta County,CO,97.1,8896,63.4,8896,66.3,8694,70,8356,72.4,3525,91.9,7973,56.8,7973,59.4,7816,62.9,7514,65.1,3194,83.3,4317,54.1,4317,55.2,4256,56.6,3502,64.8,2181,68.3,B,8,8,8,8,8,Non-metro,8,8,8,8,8,14029,13418,12426,11541,3834
3082,2022-03-01T00:00:00.000,08009,9,Baca County,CO,97.1,1442,40.3,1442,42.6,1428,46.9,1385,49.7,598,68.3,1391,38.8,1391,41.1,1378,45.3,1335,47.9,583,66.6,681,49.0,681,49.4,678,50.8,529,59.9,368,63.1,C,10,11,11,11,11,Non-metro,6,7,7,7,7,3581,3387,3045,2785,875
2287,2022-03-01T00:00:00.000,08087,9,Morgan County,CO,97.1,15404,53,15403,57.3,14977,62.6,14077,65.3,3813,84.2,13799,47.5,13799,51.3,13492,56.4,12700,58.9,3562,78.6,5552,40.2,5552,41.2,5477,43.1,3925,57.1,2251,63.2,C,11,12,12,12,12,Non-metro,7,8,8,8,8,29068,26903,23929,21551,4529
1659,2022-03-01T00:00:00.000,08021,9,Conejos County,CO,97.1,4393,53.5,4393,57,4212,61.5,3872,63.1,1389,85.1,4004,48.8,4004,52,3880,56.6,3598,58.6,1298,79.5,1998,49.9,1998,51.5,1954,54.3,1486,66.1,896,69.0,D,15,16,16,16,16,Non-metro,7,8,8,8,8,8205,7701,6854,6141,1633
316,2022-03-01T00:00:00.000,08117,9,Summit County,CO,97.1,30251,95,30245,95,29132,95,27592,95,4487,95,26005,83.9,26004,87.9,25246,91.3,23912,92,4076,91.9,12574,48.4,12573,49.8,12150,50.8,6588,65.9,2975,73.0,A,4,4,4,4,4,Non-metro,8,8,8,8,8,31011,29576,27639,25982,4433
500,2022-03-01T00:00:00.000,08053,9,Hinsdale County,CO,97.1,539,65.7,0,0,,0,,0,,0,522,63.7,522,65.8,511,69.4,491,70.4,212,82.2,277,53.1,277,54.2,274,55.8,218,64.3,144,67.9,A,4,4,4,4,4,Non-metro,8,8,8,8,8,820,793,736,697,258
3091,2022-03-01T00:00:00.000,08109,9,Saguache County,CO,97.1,2607,38.2,2607,40.4,2542,42.8,2412,44.8,912,54.5,2400,35.2,2400,37.2,2364,39.8,2251,41.8,883,52.7,1368,57.0,1368,57.9,1351,60.0,1012,67.9,619,70.1,D,14,14,14,15,15,Non-metro,6,6,6,7,7,6824,6449,5938,5381,1674
1897,2022-03-01T00:00:00.000,08069,9,Larimer County,CO,97.1,266020,74.5,265974,78.4,254505,81.5,237813,82.6,57469,95,240133,67.3,240132,70.7,230684,73.9,215248,74.8,54025,93.5,135935,56.6,135908,58.9,130572,60.7,74425,72.0,41915,77.6,A,4,4,4,4,4,Metro,4,4,4,4,4,356899,339418,312264,287767,57774
3088,2022-03-01T00:00:00.000,08081,9,Moffat County,CO,97.1,6351,47.8,6351,51.3,6231,56.5,5903,59.6,1699,80.3,5679,42.8,5679,45.9,5592,50.7,5310,53.6,1583,74.8,2295,40.4,2295,41,2269,42.7,1621,54.0,975,61.6,C,11,11,12,12,12,Non-metro,7,7,8,8,8,13283,12374,11021,9908,2116
1037,2022-03-01T00:00:00.000,08055,9,Huerfano County,CO,97.1,4032,58.5,4031,60.7,3954,63.6,3837,66.3,1837,82.9,3699,53.6,3699,55.7,3643,58.6,3542,61.2,1710,77.2,1965,53.1,1965,53.9,1947,55.0,1675,62.6,1125,65.8,C,12,12,12,12,12,Non-metro,8,8,8,8,8,6897,6636,6213,5787,2216
2131,2022-03-01T00:00:00.000,08107,9,Routt County,CO,97.1,21543,84,21536,87.8,20525,90.1,19155,90.8,4532,95,19266,75.1,19264,78.6,18405,80.8,17158,81.4,4133,95,10732,55.7,10728,58.3,10325,60.2,6301,71.3,3126,75.6,A,4,4,4,4,4,Non-metro,8,8,8,8,8,25638,24519,22774,21087,4264
385,2022-03-01T00:00:00.000,08057,9,Jackson County,CO,97.1,654,47,0,0,,0,,0,,0,625,44.9,625,47.1,619,50.3,597,51.5,244,75.3,337,53.9,337,54.4,333,55.8,269,62.9,160,65.6,A,3,3,4,4,4,Non-metro,7,7,8,8,8,1392,1328,1231,1159,324
1946,2022-03-01T00:00:00.000,08035,9,Douglas County,CO,97.1,278797,79.4,278702,84.2,262917,88.4,237871,90.5,46561,95,255435,72.7,255431,77.1,241774,81.3,218135,83,43310,95,138261,54.1,138240,57.2,131488,60.3,74419,70.5,33612,77.6,A,4,4,4,4,4,Metro,4,4,4,4,4,351154,331127,297254,262787,43602
